iso3,m49_code,region_country_area,year,series,value,footnotes,source
AFG,4,Afghanistan,2010,Population annual rate of increase (percent),2.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AFG,4,Afghanistan,2010,Total fertility rate (children per women),6.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2010,"Under five mortality rate for both sexes (per 1,000 live births)",90.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AFG,4,Afghanistan,2010,"Maternal mortality ratio (deaths per 100,000 population)",899,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
AFG,4,Afghanistan,2010,Life expectancy at birth for both sexes (years),60.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2010,Life expectancy at birth for males (years),59.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2010,Life expectancy at birth for females (years),62.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2015,Population annual rate of increase (percent),2.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AFG,4,Afghanistan,2015,Total fertility rate (children per women),5.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2015,"Under five mortality rate for both sexes (per 1,000 live births)",76.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AFG,4,Afghanistan,2015,"Maternal mortality ratio (deaths per 100,000 population)",776,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
AFG,4,Afghanistan,2015,Life expectancy at birth for both sexes (years),62.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2015,Life expectancy at birth for males (years),60.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2015,Life expectancy at birth for females (years),64.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2020,Population annual rate of increase (percent),3.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AFG,4,Afghanistan,2020,Total fertility rate (children per women),5.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2020,"Under five mortality rate for both sexes (per 1,000 live births)",62.9,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AFG,4,Afghanistan,2020,"Maternal mortality ratio (deaths per 100,000 population)",620,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
AFG,4,Afghanistan,2020,Life expectancy at birth for both sexes (years),61.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2020,Life expectancy at birth for males (years),58.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2020,Life expectancy at birth for females (years),64.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2025,Population annual rate of increase (percent),2.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AFG,4,Afghanistan,2025,Total fertility rate (children per women),4.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2025,"Under five mortality rate for both sexes (per 1,000 live births)",52.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
AFG,4,Afghanistan,2025,Life expectancy at birth for both sexes (years),66.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2025,Life expectancy at birth for males (years),64.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
AFG,4,Afghanistan,2025,Life expectancy at birth for females (years),68.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2010,Population annual rate of increase (percent),-1.1,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ALB,8,Albania,2010,Total fertility rate (children per women),1.7,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2010,"Under five mortality rate for both sexes (per 1,000 live births)",13.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed June 2025."
ALB,8,Albania,2010,"Maternal mortality ratio (deaths per 100,000 population)",9,Estimate.,"World Health Organization (WHO), the United Nations Children's Fund (UNICEF), the United Nations Population Fund (UNFPA), the World Bank and the United Nations Population Division, ""Trends in Maternal Mortality 2000 - 2020."""
ALB,8,Albania,2010,Life expectancy at birth for both sexes (years),78.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
ALB,8,Albania,2010,Life expectancy at birth for males (years),75.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2023, last accessed June 2025."
