iso3,country_name,as_of_date,year,status,risk_score,requirements_usd,funding_usd,funding_gap_ratio,percent_funded_avg,in_need,flood_pop_exposed,flood_area_pct,revised_requirements_usd,recommended_actions,computed_at
BEL,Belgium,2026-02-21,,green,0.001575,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
HKG,"China, Hong Kong SAR",2026-02-21,,green,0.000475,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
NGA,Water and Sanitation,2026-02-21,,green,0.12470726474153504,,,,,34676092,93279705,2.7416124851679093,12146842656,Maintain baseline support and preparedness.,2026-02-21 20:14:38
MLI,Mali,2026-02-21,,green,0.13067558367235926,,,,,5100000,23206181,3.23574470104464,10471030802,Maintain baseline support and preparedness.,2026-02-21 20:14:38
BRA,Brazil,2026-02-21,,green,0.023882291481559775,,,,,,,,10831995140,Maintain baseline support and preparedness.,2026-02-21 20:14:38
PRK,Democratic People's Republic of Korea,2026-02-21,,green,0.02288219456891876,,,,,,14909277,3.647024112148302,3358922217,Maintain baseline support and preparedness.,2026-02-21 20:14:38
ARE,United Arab Emirates,2026-02-21,,green,0.013425,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
NAM,Namibia,2026-02-21,,green,0.03221298298722341,,,,,,276303,1.261486503542399,10870152,Maintain baseline support and preparedness.,2026-02-21 20:14:38
ROU,Romania,2026-02-21,,green,0.009269327264619215,,,,,,,,5246305310,Maintain baseline support and preparedness.,2026-02-21 20:14:38
MNP,Northern Mariana Islands,2026-02-21,,green,0.0014750000000000002,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
MCO,Monaco,2026-02-21,,green,0.0011,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
LSO,Lesotho,2026-02-21,,green,0.0518485755827108,,,,,,,,904212147,Maintain baseline support and preparedness.,2026-02-21 20:14:38
ATG,Antigua and Barbuda,2026-02-21,,green,0.005812358028445229,,,,,,,,27054496,Maintain baseline support and preparedness.,2026-02-21 20:14:38
MRT,Mauritania,2026-02-21,,green,0.04963234450391287,,,,,,,,2974518198,Maintain baseline support and preparedness.,2026-02-21 20:14:38
GNQ,Equatorial Guinea,2026-02-21,,green,0.039575,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
DJI,Djibouti,2026-02-21,,green,0.03281098958926152,,,,,,,,1872760633,Maintain baseline support and preparedness.,2026-02-21 20:14:38
PLW,Palau,2026-02-21,,green,0.00525,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
BRN,Brunei Darussalam,2026-02-21,,green,0.008450000000000001,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
TWN,Other non-specified areas,2026-02-21,,green,0.0010500000000000002,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
ABW,Aruba,2026-02-21,,green,0.018182291481559774,,,,,,,,10831995140,Maintain baseline support and preparedness.,2026-02-21 20:14:38
TUN,Tunisia,2026-02-21,,green,0.008064215920462733,,,,,,,,336182831,Maintain baseline support and preparedness.,2026-02-21 20:14:38
ZMB,Zambia,2026-02-21,,green,0.042968055600650444,,,,,,3665643,1.447812913198482,4976979021,Maintain baseline support and preparedness.,2026-02-21 20:14:38
WLF,Wallis and Futuna Islands,2026-02-21,,green,0.00315,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
BLZ,Belize,2026-02-21,,green,0.01605,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
REU,Réunion,2026-02-21,,green,0.0033000000000000004,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
SUR,Suriname,2026-02-21,,green,0.01235,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
ARG,Argentina,2026-02-21,,green,0.021207291481559774,,,,,,,,10831995140,Maintain baseline support and preparedness.,2026-02-21 20:14:38
TTO,Trinidad and Tobago,2026-02-21,,green,0.021182291481559774,,,,,,,,10831995140,Maintain baseline support and preparedness.,2026-02-21 20:14:38
PAN,Panama,2026-02-21,,green,0.026657291481559774,,,,,,,,10831995140,Maintain baseline support and preparedness.,2026-02-21 20:14:38
MUS,Mauritius,2026-02-21,,green,0.007450000000000002,,,,,,,,,Maintain baseline support and preparedness.,2026-02-21 20:14:38
